Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.70E+03,2.70E+03,0,0,0,0
SPX US 3/16/2018 C500 Index,500,2191,2.21E+03,0,0,1,1
SPX US 3/16/2018 C600 Index,600,2.09E+03,2.11E+03,0,0,1,1
SPX US 3/16/2018 C700 Index,700,1.99E+03,2.01E+03,0,0,1,1
SPX US 3/16/2018 C800 Index,800,1.89E+03,1.91E+03,0,0,1,1
SPX US 3/16/2018 C900 Index,900,1.79E+03,1.81E+03,0,0,1,1
SPX US 3/16/2018 C1000 Index,1000,1.69E+03,1.71E+03,0,0,1,1
SPX US 3/16/2018 C1100 Index,1100,1.59E+03,1.61E+03,0,0,1,1
SPX US 3/16/2018 C1200 Index,1200,1.49E+03,1.51E+03,0,0,1,1
SPX US 3/16/2018 C1225 Index,1225,1.47E+03,1.49E+03,0,0,1,1
SPX US 3/16/2018 C1250 Index,1250,1.44E+03,1.46E+03,0,0,1,1
SPX US 3/16/2018 C1275 Index,1275,1.42E+03,1436,0,0,1,1
SPX US 3/16/2018 C1300 Index,1300,1.39E+03,1411,0,0,1,1
SPX US 3/16/2018 C1325 Index,1325,1.37E+03,1386,0,0,1,1
SPX US 3/16/2018 C1350 Index,1350,1.34E+03,1.36E+03,0,0,1,1
SPX US 3/16/2018 C1375 Index,1375,1317,1.34E+03,0,0,1,1
SPX US 3/16/2018 C1400 Index,1400,1292,1.31E+03,0,0,1,1
SPX US 3/16/2018 C1425 Index,1425,1267,1.29E+03,0,0,1,1
SPX US 3/16/2018 P1425 Index,1425,5.00E-02,2.00E-01,1,0,50,200
SPX US 3/16/2018 C1450 Index,1450,1.24E+03,1.26E+03,0,0,1,1
SPX US 3/16/2018 C1475 Index,1475,1.22E+03,1.24E+03,0,0,1,1
SPX US 3/16/2018 C1500 Index,1500,1.19E+03,1.21E+03,0,0,1,1
SPX US 3/16/2018 P1500 Index,1500,5.00E-02,2.50E-01,1,0,255,220
SPX US 3/16/2018 C1525 Index,1525,1.17E+03,1.19E+03,0,0,1,1
SPX US 3/16/2018 C1550 Index,1550,1.14E+03,1.16E+03,0,0,1,1
SPX US 3/16/2018 C1575 Index,1575,1.12E+03,1.14E+03,0,0,1,1
SPX US 3/16/2018 P1575 Index,1575,1.00E-01,3.00E-01,1,0,200,220
SPX US 3/16/2018 C1600 Index,1600,1092,1.11E+03,0,0,1,1
SPX US 3/16/2018 C1625 Index,1625,1.07E+03,1.09E+03,0,0,1,1
SPX US 3/16/2018 P1625 Index,1625,1.50E-01,3.50E-01,1,0,200,260
SPX US 3/16/2018 C1650 Index,1650,1.04E+03,1.06E+03,0,0,1,1
SPX US 3/16/2018 P1650 Index,1650,1.50E-01,3.50E-01,1,0,200,200
SPX US 3/16/2018 C1675 Index,1675,1.02E+03,1.04E+03,0,0,1,1
SPX US 3/16/2018 P1675 Index,1675,1.50E-01,4.00E-01,1,0,200,260
SPX US 3/16/2018 C1700 Index,1700,9.92E+02,1.01E+03,0,0,1,1
SPX US 3/16/2018 P1700 Index,1700,2.00E-01,4.00E-01,1,0,200,200
SPX US 3/16/2018 C1725 Index,1725,9.68E+02,9.87E+02,0,0,1,1
SPX US 3/16/2018 P1725 Index,1725,2.00E-01,4.50E-01,1,0,200,260
SPX US 3/16/2018 C1750 Index,1750,9.43E+02,9.62E+02,0,0,1,1
SPX US 3/16/2018 P1750 Index,1750,2.50E-01,4.50E-01,1,0,200,200
SPX US 3/16/2018 C1775 Index,1775,9.17E+02,9.37E+02,0,0,1,1
SPX US 3/16/2018 P1775 Index,1775,3.00E-01,5.00E-01,1,0,200,240
SPX US 3/16/2018 C1785 Index,1785,9.08E+02,9.27E+02,0,0,1,1
SPX US 3/16/2018 P1785 Index,1785,3.00E-01,5.00E-01,1,0,200,200
SPX US 3/16/2018 C1800 Index,1800,8.93E+02,9.12E+02,0,0,1,1
SPX US 3/16/2018 C1810 Index,1810,8.83E+02,9.02E+02,0,0,1,1
SPX US 3/16/2018 P1810 Index,1810,3.00E-01,5.50E-01,1,0,200,260
SPX US 3/16/2018 C1820 Index,1820,8.72E+02,8.92E+02,0,0,1,1
SPX US 3/16/2018 P1820 Index,1820,3.50E-01,5.50E-01,1,0,200,220
SPX US 3/16/2018 C1825 Index,1825,8.67E+02,8.87E+02,0,0,1,1
SPX US 3/16/2018 P1825 Index,1825,3.50E-01,5.50E-01,1,0,200,200
SPX US 3/16/2018 C1830 Index,1830,8.63E+02,8.82E+02,0,0,1,1
SPX US 3/16/2018 P1830 Index,1830,3.50E-01,5.50E-01,1,0,200,200
SPX US 3/16/2018 C1840 Index,1840,8.53E+02,8.72E+02,0,0,1,1
SPX US 3/16/2018 C1850 Index,1850,8.43E+02,8.62E+02,0,0,1,1
SPX US 3/16/2018 P1850 Index,1850,3.50E-01,6.00E-01,1,0,260,240
SPX US 3/16/2018 C1860 Index,1860,8.33E+02,8.52E+02,0,0,1,1
SPX US 3/16/2018 P1860 Index,1860,4.00E-01,6.00E-01,1,0,200,200
SPX US 3/16/2018 C1870 Index,1870,8.23E+02,8.42E+02,0,0,1,1
SPX US 3/16/2018 P1870 Index,1870,4.00E-01,6.00E-01,1,0,200,200
SPX US 3/16/2018 C1875 Index,1875,8.18E+02,8.37E+02,0,0,1,1
SPX US 3/16/2018 C1880 Index,1880,8.13E+02,832,0,0,1,1
SPX US 3/16/2018 P1880 Index,1880,4.00E-01,6.00E-01,1,0,200,200
SPX US 3/16/2018 C1890 Index,1890,8.03E+02,822,0,0,1,1
SPX US 3/16/2018 P1890 Index,1890,4.50E-01,6.50E-01,1,0,200,200
SPX US 3/16/2018 C1900 Index,1900,7.93E+02,812,0,0,1,1
SPX US 3/16/2018 P1900 Index,1900,4.50E-01,6.50E-01,1,0,200,200
SPX US 3/16/2018 C1910 Index,1910,7.83E+02,802,0,0,1,1
SPX US 3/16/2018 P1910 Index,1910,4.50E-01,6.50E-01,1,0,200,200
SPX US 3/16/2018 C1920 Index,1920,7.73E+02,792,0,0,1,1
SPX US 3/16/2018 P1920 Index,1920,4.50E-01,7.00E-01,1,0,260,220
SPX US 3/16/2018 C1925 Index,1925,768,7.87E+02,0,0,1,1
SPX US 3/16/2018 P1925 Index,1925,5.00E-01,7.00E-01,1,0,200,200
SPX US 3/16/2018 C1930 Index,1930,7.63E+02,7.82E+02,0,0,1,1
SPX US 3/16/2018 P1930 Index,1930,5.00E-01,7.00E-01,1,0,200,200
SPX US 3/16/2018 C1940 Index,1940,7.53E+02,7.72E+02,0,0,1,1
SPX US 3/16/2018 P1940 Index,1940,5.00E-01,7.00E-01,1,0,200,200
SPX US 3/16/2018 C1950 Index,1950,7.43E+02,7.62E+02,0,0,1,1
SPX US 3/16/2018 P1950 Index,1950,5.00E-01,7.50E-01,1,0,260,200
SPX US 3/16/2018 C1960 Index,1960,7.33E+02,7.52E+02,0,0,1,1
