Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.832360e+03,2.833990e+03,0,0,0,0
SPX US 2/16/2018 C1100 Index,1100,1.727900e+03,1735,0,0,5,4
SPX US 2/16/2018 C1200 Index,1200,1.628100e+03,1.635200e+03,0,0,5,4
SPX US 2/16/2018 C1300 Index,1300,1.528300e+03,1.535300e+03,0,0,5,4
SPX US 2/16/2018 C1325 Index,1325,1.503300e+03,1.510400e+03,0,0,5,4
SPX US 2/16/2018 C1350 Index,1350,1.478300e+03,1.485400e+03,0,0,5,4
SPX US 2/16/2018 C1375 Index,1375,1.453400e+03,1.460400e+03,0,0,5,4
SPX US 2/16/2018 C1400 Index,1400,1.428400e+03,1.435500e+03,0,0,5,4
SPX US 2/16/2018 C1425 Index,1425,1.403500e+03,1.410500e+03,0,0,5,4
SPX US 2/16/2018 C1450 Index,1450,1.378500e+03,1.385600e+03,0,0,5,4
SPX US 2/16/2018 C1475 Index,1475,1.353500e+03,1.360600e+03,0,0,5,4
SPX US 2/16/2018 C1500 Index,1500,1.328600e+03,1.335600e+03,0,0,5,4
SPX US 2/16/2018 C1525 Index,1525,1.303600e+03,1.310700e+03,0,0,5,4
SPX US 2/16/2018 C1550 Index,1550,1.278700e+03,1.285700e+03,0,0,5,4
SPX US 2/16/2018 C1575 Index,1575,1.253700e+03,1.260800e+03,0,0,5,4
SPX US 2/16/2018 C1600 Index,1600,1.228800e+03,1.235800e+03,0,0,5,4
SPX US 2/16/2018 C1625 Index,1625,1.203800e+03,1.210900e+03,0,0,5,4
SPX US 2/16/2018 C1650 Index,1650,1.178800e+03,1.185900e+03,0,0,5,4
SPX US 2/16/2018 C1675 Index,1675,1.153900e+03,1.160900e+03,0,0,5,4
SPX US 2/16/2018 C1700 Index,1700,1.128900e+03,1136,0,0,5,4
SPX US 2/16/2018 C1725 Index,1725,1104,1111,0,0,5,4
SPX US 2/16/2018 C1750 Index,1750,1079,1.086100e+03,0,0,5,4
SPX US 2/16/2018 C1775 Index,1775,1.054100e+03,1.061100e+03,0,0,5,4
SPX US 2/16/2018 C1800 Index,1800,1.029100e+03,1.036200e+03,0,0,5,4
SPX US 2/16/2018 C1810 Index,1810,1.019100e+03,1.026200e+03,0,0,5,4
SPX US 2/16/2018 C1820 Index,1820,1.009200e+03,1.016200e+03,0,0,5,4
SPX US 2/16/2018 C1825 Index,1825,1.004200e+03,1.011200e+03,0,0,5,4
SPX US 2/16/2018 C1830 Index,1830,9.992000e+02,1.006200e+03,0,0,5,4
SPX US 2/16/2018 C1840 Index,1840,9.892000e+02,9.962000e+02,0,0,5,4
SPX US 2/16/2018 C1850 Index,1850,9.792000e+02,9.863000e+02,0,0,5,4
SPX US 2/16/2018 C1860 Index,1860,9.692000e+02,9.763000e+02,0,0,5,4
SPX US 2/16/2018 C1870 Index,1870,9.593000e+02,9.663000e+02,0,0,5,4
SPX US 2/16/2018 C1875 Index,1875,9.543000e+02,9.613000e+02,0,0,5,4
SPX US 2/16/2018 C1880 Index,1880,9.493000e+02,9.563000e+02,0,0,5,4
SPX US 2/16/2018 C1890 Index,1890,9.393000e+02,9.463000e+02,0,0,5,4
SPX US 2/16/2018 C1900 Index,1900,9.293000e+02,9.364000e+02,0,0,5,4
SPX US 2/16/2018 C1910 Index,1910,9.193000e+02,9.264000e+02,0,0,5,4
SPX US 2/16/2018 C1920 Index,1920,9.094000e+02,9.164000e+02,0,0,5,4
SPX US 2/16/2018 C1925 Index,1925,9.044000e+02,9.114000e+02,0,0,5,4
SPX US 2/16/2018 C1930 Index,1930,8.994000e+02,9.064000e+02,0,0,5,4
SPX US 2/16/2018 C1940 Index,1940,8.894000e+02,8.964000e+02,0,0,5,4
SPX US 2/16/2018 C1950 Index,1950,8.794000e+02,8.865000e+02,0,0,5,4
SPX US 2/16/2018 C1960 Index,1960,8.694000e+02,8.765000e+02,0,0,5,4
SPX US 2/16/2018 C1970 Index,1970,8.594000e+02,8.665000e+02,0,0,5,4
SPX US 2/16/2018 C1975 Index,1975,8.545000e+02,8.615000e+02,0,0,5,4
SPX US 2/16/2018 C1980 Index,1980,8.495000e+02,8.565000e+02,0,0,5,4
SPX US 2/16/2018 C1990 Index,1990,8.395000e+02,8.465000e+02,0,0,5,4
SPX US 2/16/2018 C2000 Index,2000,8.295000e+02,8.365000e+02,0,0,5,4
SPX US 2/16/2018 C2010 Index,2010,8.195000e+02,8.266000e+02,0,0,5,4
SPX US 2/16/2018 C2020 Index,2020,8.095000e+02,8.166000e+02,0,0,5,4
SPX US 2/16/2018 C2025 Index,2025,8.046000e+02,8.116000e+02,0,0,5,4
SPX US 2/16/2018 C2030 Index,2030,7.996000e+02,8.066000e+02,0,0,5,4
SPX US 2/16/2018 C2040 Index,2040,7.896000e+02,7.966000e+02,0,0,5,4
SPX US 2/16/2018 C2050 Index,2050,7.796000e+02,7.866000e+02,0,0,5,4
SPX US 2/16/2018 C2060 Index,2060,7.696000e+02,7.767000e+02,0,0,5,4
SPX US 2/16/2018 C2070 Index,2070,7.596000e+02,7.667000e+02,0,0,5,4
SPX US 2/16/2018 C2075 Index,2075,7.547000e+02,7.617000e+02,0,0,5,4
SPX US 2/16/2018 C2080 Index,2080,7.497000e+02,7.567000e+02,0,0,5,4
SPX US 2/16/2018 C2090 Index,2090,7.397000e+02,7.467000e+02,0,0,5,4
SPX US 2/16/2018 C2100 Index,2100,7.297000e+02,7.367000e+02,0,0,5,4
SPX US 2/16/2018 C2110 Index,2110,7.197000e+02,7.268000e+02,0,0,5,4
SPX US 2/16/2018 C2120 Index,2120,7.097000e+02,7.168000e+02,0,0,5,4
SPX US 2/16/2018 C2125 Index,2125,7.047000e+02,7.118000e+02,0,0,5,4
SPX US 2/16/2018 C2130 Index,2130,6.998000e+02,7.068000e+02,0,0,5,4
SPX US 2/16/2018 C2135 Index,2135,6.948000e+02,7.018000e+02,0,0,5,4
SPX US 2/16/2018 P2135 Index,2135,1.000000e-01,2.500000e-01,1,0,200,220
SPX US 2/16/2018 C2140 Index,2140,6.898000e+02,6.968000e+02,0,0,5,4
