Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.761620e+03,2.763130e+03,0,0,0,0
ESH8 Index,0,2.762250e+03,2.762500e+03,0,1,24,63
SPX US 3/16/2018 C500 Index,500,2251,2.269900e+03,0,0,1,1
SPX US 3/16/2018 C600 Index,600,2.151100e+03,2170,0,0,1,1
SPX US 3/16/2018 C700 Index,700,2.051200e+03,2.070100e+03,0,0,1,1
SPX US 3/16/2018 C800 Index,800,1.951300e+03,1.970200e+03,0,0,1,1
SPX US 3/16/2018 C900 Index,900,1.851400e+03,1.870400e+03,0,0,1,1
SPX US 3/16/2018 C1000 Index,1000,1.751500e+03,1.771100e+03,0,0,1,1
SPX US 3/16/2018 C1100 Index,1100,1.651600e+03,1.671200e+03,0,0,1,1
SPX US 3/16/2018 C1200 Index,1200,1.551700e+03,1.571300e+03,0,0,1,1
SPX US 3/16/2018 C1225 Index,1225,1.526800e+03,1.544400e+03,0,0,1,1
SPX US 3/16/2018 C1250 Index,1250,1.501800e+03,1.520800e+03,0,0,1,1
SPX US 3/16/2018 C1275 Index,1275,1.476800e+03,1.496400e+03,0,0,1,1
SPX US 3/16/2018 C1300 Index,1300,1.451900e+03,1.469400e+03,0,0,1,1
SPX US 3/16/2018 C1325 Index,1325,1.426900e+03,1.445900e+03,0,0,1,1
SPX US 3/16/2018 C1350 Index,1350,1.401900e+03,1.420900e+03,0,0,1,1
SPX US 3/16/2018 C1375 Index,1375,1.376900e+03,1.394500e+03,0,0,1,1
SPX US 3/16/2018 C1400 Index,1400,1352,1.369500e+03,0,0,1,1
SPX US 3/16/2018 C1425 Index,1425,1327,1346,0,0,1,1
SPX US 3/16/2018 C1450 Index,1450,1302,1.319900e+03,0,0,1,1
SPX US 3/16/2018 C1475 Index,1475,1.277100e+03,1.296400e+03,0,0,1,1
SPX US 3/16/2018 C1500 Index,1500,1.252100e+03,1.271100e+03,0,0,1,1
SPX US 3/16/2018 C1525 Index,1525,1.227200e+03,1245,0,0,1,1
SPX US 3/16/2018 C1550 Index,1550,1.202200e+03,1222,0,0,1,1
SPX US 3/16/2018 C1575 Index,1575,1.177300e+03,1.195700e+03,0,0,1,1
SPX US 3/16/2018 C1600 Index,1600,1.152300e+03,1.170700e+03,0,0,1,1
SPX US 3/16/2018 P1600 Index,1600,1.000000e-01,1.500000e-01,1,0,10,200
SPX US 3/16/2018 C1625 Index,1625,1.127400e+03,1.144900e+03,0,0,1,1
SPX US 3/16/2018 C1650 Index,1650,1.102400e+03,1.120800e+03,0,0,1,1
SPX US 3/16/2018 C1675 Index,1675,1.077400e+03,1.095900e+03,0,0,1,1
SPX US 3/16/2018 C1700 Index,1700,1.052500e+03,1070,0,0,1,1
SPX US 3/16/2018 C1725 Index,1725,1.027500e+03,1046,0,0,1,1
SPX US 3/16/2018 P1725 Index,1725,5.000000e-02,2.500000e-01,1,0,300,200
SPX US 3/16/2018 C1750 Index,1750,1.002500e+03,1.020400e+03,0,0,1,1
SPX US 3/16/2018 P1750 Index,1750,5.000000e-02,2.500000e-01,1,0,301,200
SPX US 3/16/2018 C1775 Index,1775,9.776000e+02,9.951000e+02,0,0,1,1
SPX US 3/16/2018 C1785 Index,1785,9.676000e+02,9.861000e+02,0,0,1,1
SPX US 3/16/2018 C1800 Index,1800,9.526000e+02,9.711000e+02,0,0,1,1
SPX US 3/16/2018 C1810 Index,1810,9.426000e+02,9.612000e+02,0,0,1,1
SPX US 3/16/2018 C1820 Index,1820,9.327000e+02,9.505000e+02,0,0,1,1
SPX US 3/16/2018 P1820 Index,1820,1.000000e-01,3.000000e-01,1,0,220,200
SPX US 3/16/2018 C1825 Index,1825,9.277000e+02,9.462000e+02,0,0,1,1
SPX US 3/16/2018 P1825 Index,1825,1.000000e-01,3.000000e-01,1,0,200,200
SPX US 3/16/2018 C1830 Index,1830,9.227000e+02,9.403000e+02,0,0,1,1
SPX US 3/16/2018 C1840 Index,1840,9.127000e+02,9.303000e+02,0,0,1,1
SPX US 3/16/2018 C1850 Index,1850,9.027000e+02,9.212000e+02,0,0,1,1
SPX US 3/16/2018 C1860 Index,1860,8.927000e+02,9.113000e+02,0,0,1,1
SPX US 3/16/2018 C1870 Index,1870,8.827000e+02,9.013000e+02,0,0,1,1
SPX US 3/16/2018 C1875 Index,1875,8.778000e+02,8.963000e+02,0,0,1,1
SPX US 3/16/2018 C1880 Index,1880,8.728000e+02,8.913000e+02,0,0,1,1
SPX US 3/16/2018 C1890 Index,1890,8.628000e+02,8.813000e+02,0,0,1,1
SPX US 3/16/2018 C1900 Index,1900,8.528000e+02,8.704000e+02,0,0,1,1
SPX US 3/16/2018 C1910 Index,1910,8.428000e+02,8.614000e+02,0,0,1,1
